"number","callOtherCarrierRatio","weekdayCall","color","memberProfile","averageArpu","closeness","nighttimeCall","averageDurationProfile","aisRatioProfile","daytimeCall","daytimeNighttimeProfile","outGroupCall","averageNoOfCallProfile","member","weekdayWeekendProfile","averageArpuProfile","callOtherCarrierProfile","eccentricity","averageNoOfCall","aisRatio","averageDurationCall","weekendCall","inGroupCall","betweenness","communityID"
"1241","0.92","937","#5a7882","Very Low","99.56","2.0180722891566263","328","Very Low","Low","947","Daytime","76","Very Low","240","Weekday","Very Low","Very High","3.0","16.14","0.33","149.13","338","1275","31.38579291183871","1241"
"1240","1","21","#838c92","Very Low","0","0.0","13","Very Low","High","18","Average","0","Very Low","10","Average","Very Low","Very High","0.0","4.43","0.7","58.29","10","31","0.0","1240"
"1239","0.82","2808","#ca936e","Very Low","180.12","1.8373493975903614","976","Very Low","Medium","2501","Daytime","126","Very Low","633","Weekday","Very Low","High","3.0","11.18","0.49","121.17","669","3477","103.38559352499256","1239"
"1238","1","0","#3dcd7b","Very Low","575","0.0","2","Very Low","High","4","Average","0","Very Low","3","Weekend","Very Low","Very High","0.0","3","0.67","128.67","6","6","0.0","1238"
"1237","1","38","#85ab6f","Very Low","152.4","0.0","36","Very Low","Very High","32","Average","0","Very Low","6","Weekend","Very Low","Very High","0.0","13.6","0.83","119.91","30","68","0.0","1237"
"1236","0.89","2075","#8289d0","Very Low","112.31","1.9578313253012047","768","Very Low","Low","1798","Daytime","140","Very Low","589","Weekday","Very Low","Very High","3.0","10.69","0.41","105.1","491","2566","79.15455506793577","1236"
"1235","0.88","2112","#535165","Very Low","97.77","1.8614457831325302","975","Very Low","Medium","1767","Daytime","180","Very Low","452","Weekday","Very Low","Very High","3.0","12.52","0.48","130.03","630","2742","63.95713271930247","1235"
"1234","1","47","#254058","Very Low","73.81","0.0","12","Very Low","Medium","41","Daytime","0","Very Low","24","Weekday","Very Low","Very High","0.0","3.79","0.58","199.62","6","53","0.0","1234"
"1233","1","11","#4968d5","Very Low","612.4","0.0","8","Very Low","Very Low","6","Average","0","Very Low","7","Average","Very Low","Very High","0.0","14","0.14","123.07","3","14","0.0","1233"
"810","1","3","#e49375","Very Low","216.04","0.0","0","Very Low","High","3","Average","0","Very Low","4","Average","Very Low","Very High","0.0","1","0.75","41","0","3","0.0","810"
"1232","0.93","11","#8f7f39","Very Low","720.84","0.0","3","Very Low","Medium","11","Daytime","0","Very Low","10","Average","Very Low","Very High","0.0","2.8","0.5","35.57","3","14","0.0","1232"
"811","1","62","#50d1c7","Very Low","100","0.0","37","Very Low","High","36","Average","0","Very Low","13","Weekday","Very Low","Very High","0.0","8.11","0.69","193.34","11","73","0.0","811"
"812","1","55","#74cf82","Very Low","49.97","0.0","4","Low","Very High","51","Daytime","0","Very Low","7","Weekday","Very Low","Very High","0.0","9.17","0.86","876.45","0","55","0.0","812"
"813","1","92","#59c8be","Very Low","119","0.0","58","Very Low","Medium","44","Nighttime","0","Very Low","14","Weekday","Very Low","Very High","0.0","12.75","0.57","270.14","10","102","0.0","813"
"814","1","8","#b6336e","Very Low","1259.23","0.0","7","Very Low","Medium","5","Average","0","Very Low","4","Average","Very Low","Very High","0.0","6","0.5","581.42","4","12","0.0","814"
"815","0.98","40","#cb7d72","Very Low","63.95","0.0","52","Very Low","Low","64","Daytime","0","Very Low","27","Weekend","Very Low","Very High","0.0","10.55","0.41","79.91","76","116","0.0","815"
"816","1","4","#6649d1","Very Low","129.15","0.0","1","Very Low","High","6","Average","0","Very Low","4","Average","Very Low","Very High","0.0","2.33","0.75","149","3","7","0.0","816"
"817","1","32","#26892d","Very Low","88.44","0.0","24","Very Low","Medium","20","Average","0","Very Low","7","Average","Very Low","Very High","0.0","11","0.57","187.45","12","44","0.0","817"
"818","0.98","52","#78c197","Very Low","131.62","0.0","64","Very Low","Low","18","Nighttime","0","Very Low","19","Weekend","Very Low","Very High","0.0","10.25","0.42","180.11","30","82","0.0","818"
"819","1","95","#9bd990","Very Low","29.7","0.0","12","Very Low","High","101","Daytime","0","Very Low","23","Weekday","Very Low","Very High","0.0","6.28","0.78","181.04","18","113","0.0","819"
"1011","1","72","#6a3397","Very Low","164","0.0","52","Very Low","Low","46","Nighttime","0","Very Low","12","Weekday","Very Low","Very High","0.0","24.5","0.33","496.43","26","98","0.0","1011"
"1253","0.88","1536","#41514b","Very Low","93.35","2.0240963855421685","799","Very Low","Medium","1354","Daytime","90","Very Low","311","Weekend","Very Low","Very High","3.0","12.37","0.56","327.16","617","2153","16.882108135625042","1253"
"1010","1","19","#a76fb9","Very Low","66.02","0.0","13","Very Low","Very High","13","Average","0","Very Low","9","Average","Very Low","Very High","0.0","2.89","1","65.15","7","26","0.0","1010"
"1252","1","722","#28804e","Very Low","158.34","2.0903614457831323","273","Very Low","Low","665","Daytime","16","Very Low","195","Weekday","Very Low","Very High","3.0","10.78","0.45","254.41","216","938","3.9100978260696215","1252"
"1251","0.89","21","#5a5c44","Very Low","96.9","0.0","16","Very Low","Medium","20","Average","0","Very Low","16","Weekend","Very Low","Very High","0.0","3.6","0.62","112.33","15","36","0.0","1251"
"1250","1","6","#52af93","Very Low","184.03","0.0","6","Very Low","Very High","0","Nighttime","0","Very Low","3","Weekday","Very Low","Very High","0.0","2","1","98","0","6","0.0","1250"
"1008","0.87","4199","#7f2167","Very Low","110.45","1.855421686746988","2061","Very Low","Medium","3626","Daytime","189","Very Low","951","Weekday","Very Low","Very High","3.0","11.35","0.53","135.8","1488","5687","71.03014816320798","1008"
"1007","1","32","#c44e77","Very Low","176.17","0.0","14","Very Low","Medium","18","Average","0","Very Low","9","Weekday","Very Low","Very High","0.0","6.4","0.56","159","0","32","0.0","1007"
"1249","1","14","#627014","Very Low","128.61","0.0","20","Very Low","High","32","Daytime","0","Very Low","4","Weekend","Very Low","Very High","0.0","17.33","0.75","43.35","38","52","0.0","1249"
"1006","1","12","#c1a1a1","Very Low","295","0.0","7","Very Low","Low","7","Average","0","Very Low","5","Weekday","Very Low","Very High","0.0","7","0.4","59.29","2","14","0.0","1006"
"1248","1","5","#ad4444","Very Low","170.79","0.0","2","Very Low","Very High","5","Average","0","Very Low","6","Average","Very Low","Very High","0.0","1.4","0.83","17.86","2","7","0.0","1248"
"1005","1","24","#187a75","Very Low","48","0.0","5","Very Low","Medium","27","Daytime","0","Very Low","13","Average","Very Low","Very High","0.0","4.57","0.54","158.62","8","32","0.0","1005"
"1247","0.92","886","#577d65","Very Low","134.76","1.9397590361445782","354","Very Low","Low","777","Daytime","87","Very Low","301","Weekday","Very Low","Very High","3.0","11.2","0.34","115.94","245","1131","11.669708303988623","1247"
"1004","0.84","2230","#9369b5","Very Low","143.79","1.855421686746988","879","Very Low","Medium","1863","Daytime","109","Very Low","575","Weekday","Very Low","Very High","3.0","10.31","0.46","110.37","512","2742","89.89804097816317","1004"
"1246","1","17","#82c134","Very Low","0","0.0","11","Low","Very High","10","Average","0","Very Low","3","Weekday","Very Low","Very High","0.0","7","1","1012.52","4","21","0.0","1246"
"1003","0.92","5058","#d652a4","Low","166.93","1.7590361445783131","2690","Very Low","Medium","4091","Daytime","279","Very Low","1157","Weekday","Very Low","Very High","3.0","12.56","0.47","166.91","1723","6781","701.4274618913148","1003"
"1245","1","5","#59b07d","Very Low","219.25","0.0","2","Very Low","Low","3","Average","0","Very Low","6","Average","Very Low","Very High","0.0","2.5","0.33","119.4","0","5","0.0","1245"
"820","0.99","59","#adaf60","Very Low","0","0.0","13","Very Low","Very Low","57","Daytime","0","Very Low","37","Weekday","Very Low","Very High","0.0","11.67","0.16","59.67","11","70","0.0","820"
"1002","0.96","83","#a33278","Very Low","141.41","0.0","74","Very Low","Medium","40","Nighttime","0","Very Low","13","Weekday","Very Low","Very High","0.0","16.29","0.54","820.29","31","114","0.0","1002"
"1244","1","40","#14a169","Very Low","474.5","0.0","40","Very Low","Low","14","Nighttime","0","Very Low","6","Average","Very Low","Very High","0.0","27","0.33","46.74","14","54","0.0","1244"
"821","1","224","#a97387","Very Low","26.34","0.0","82","Very Low","Medium","186","Daytime","0","Very Low","26","Weekday","Very Low","Very High","0.0","16.75","0.62","165.96","44","268","0.0","821"
"1001","1","84","#7fd3f7","Very Low","57.35","0.0","26","Very Low","High","76","Daytime","0","Very Low","15","Weekday","Very Low","Very High","0.0","10.2","0.67","283.98","18","102","0.0","1001"
"1243","1","44","#2e988e","Very Low","330.45","0.0","30","Very Low","Very Low","24","Nighttime","0","Very Low","12","Weekday","Very Low","Very High","0.0","27","0.17","119.59","10","54","0.0","1243"
"822","1","50","#484247","Very Low","50","0.0","12","Very Low","Very Low","48","Daytime","0","Very Low","18","Weekday","Very Low","Very High","0.0","15","0.22","60.03","10","60","0.0","822"
"823","0.98","39","#7e9ec8","Very Low","240.56","0.0","25","Very Low","Medium","31","Daytime","0","Very Low","13","Average","Very Low","Very High","0.0","9.33","0.46","787.11","17","56","0.0","823"
"824","1","46","#926c6b","Very Low","58.99","0.0","33","Very Low","High","31","Average","0","Very Low","17","Average","Very Low","Very High","0.0","5.82","0.65","220.17","18","64","0.0","824"
"825","0.98","34","#438d45","Very Low","118.67","0.0","29","Very Low","Low","16","Nighttime","0","Very Low","22","Weekday","Very Low","Very High","0.0","5","0.41","146.69","11","45","0.0","825"
"826","1","132","#8236a4","Very Low","51.9","0.0","46","Very Low","Very High","116","Daytime","0","Very Low","7","Weekday","Very Low","Very High","0.0","27","0.86","116.27","30","162","0.0","826"
"827","1","15","#f539bb","Very Low","87.6","0.0","2","Very Low","Low","13","Daytime","0","Very Low","10","Weekday","Very Low","Very High","0.0","3.75","0.4","98.13","0","15","0.0","827"
"828","1","42","#468cb1","Very Low","145.69","0.0","22","Very Low","Low","26","Average","0","Very Low","11","Weekday","Very Low","Very High","0.0","9.6","0.45","110.62","6","48","0.0","828"
"829","0.99","89","#621597","Very Low","16.92","0.0","76","Very Low","Very High","46","Nighttime","0","Very Low","14","Weekday","Very Low","Very High","0.0","10.17","0.86","391.63","33","122","0.0","829"
"1009","1","40","#a5668e","Very Low","10.25","0.0","10","Low","Very High","36","Daytime","0","Very Low","8","Weekday","Very Low","Very High","0.0","5.75","1","988.85","6","46","0.0","1009"
"1022","1","24","#d0a985","Very Low","35.5","0.0","0","Very Low","High","24","Daytime","0","Very Low","9","Weekday","Very Low","Very High","0.0","3.43","0.78","186.75","0","24","0.0","1022"
"1264","1","11","#6268cb","Very Low","159.88","0.0","9","Very Low","Medium","8","Average","0","Very Low","7","Average","Very Low","Very High","0.0","4.25","0.57","143","6","17","0.0","1264"
"1021","1","40","#9cc26e","Very Low","75.25","0.0","10","Very Low","Low","46","Daytime","0","Very Low","18","Average","Very Low","Very High","0.0","7","0.44","153.21","16","56","0.0","1021"
"1263","1","6","#e806e0","Very Low","225","0.0","2","Very Low","Low","6","Average","0","Very Low","6","Average","Very Low","Very High","0.0","4","0.33","74","2","8","0.0","1263"
"1020","1","4","#516b80","Very Low","116.67","0.0","0","Very Low","Very High","4","Average","0","Very Low","3","Average","Very Low","Very High","0.0","1.33","1","445.25","0","4","0.0","1020"
"1262","1","10","#9b72bc","Very Low","60.4","0.0","6","Very Low","Medium","8","Average","0","Very Low","9","Average","Very Low","Very High","0.0","2.8","0.56","75.86","4","14","0.0","1262"
"1261","0.89","1344","#884971","Very Low","116.63","1.963855421686747","524","Very Low","Medium","1140","Daytime","35","Very Low","388","Weekday","Very Low","Very High","3.0","9.4","0.46","156.52","320","1664","11.847684267191969","1261"
"1260","0.86","2539","#e24c76","Very Low","96.48","1.9156626506024097","1133","Very Low","Medium","2179","Daytime","112","Very Low","547","Weekday","Very Low","Very High","3.0","12.13","0.5","261.48","773","3312","103.04365105117354","1260"
"1019","1","4","#45bd81","Very Low","352.65","0.0","6","Low","High","2","Average","0","Very Low","3","Weekend","Very Low","Very High","0.0","4","0.67","1164.5","4","8","0.0","1019"
"1018","0.93","8","#9efb68","Very Low","202.7","0.0","6","Very Low","Low","9","Average","0","Very Low","9","Weekend","Very Low","Very High","0.0","3.75","0.44","77.67","7","15","0.0","1018"
"1017","1","17","#bcdfa6","Very Low","58.24","0.0","4","Very Low","High","19","Daytime","0","Very Low","12","Average","Very Low","Very High","0.0","2.56","0.75","560.04","6","23","0.0","1017"
"1259","0.87","3712","#839d71","Very Low","213.63","1.8433734939759037","1349","Very Low","Medium","3112","Daytime","104","Very Low","913","Weekday","Very Low","Very High","3.0","10.72","0.46","152.96","749","4461","131.27312037339453","1259"
"1016","0.89","1774","#30185d","Very Low","112.68","1.9397590361445782","801","Very Low","Medium","1444","Daytime","72","Very Low","339","Weekday","Very Low","Very High","3.0","14.03","0.47","150.67","471","2245","30.317350118302695","1016"
"1258","0.94","1849","#9c4d52","Very Low","120.35","1.8433734939759037","882","Very Low","Low","1456","Daytime","198","Very Low","520","Weekday","Very Low","Very High","3.0","11.29","0.4","133.74","489","2338","42.742176507079755","1258"
"1015","1","11","#2a812b","Very Low","57.21","0.0","4","Very Low","High","16","Daytime","0","Very Low","10","Weekend","Very Low","Very High","0.0","2.86","0.7","46.5","9","20","0.0","1015"
"1257","1","46","#e4933b","Very Low","62.12","0.0","46","Very Low","Low","4","Nighttime","0","Very Low","10","Weekday","Very Low","Very High","0.0","12.5","0.4","62","4","50","0.0","1257"
"830","1","4","#aec76f","Very Low","113.02","0.0","6","Very Low","High","5","Average","0","Very Low","4","Weekend","Very Low","Very High","0.0","3.67","0.75","74.82","7","11","0.0","830"
"1014","1","40","#608eb4","Very Low","7.5","0.0","4","Medium","Very High","52","Daytime","0","Very Low","4","Average","Very Low","Very High","0.0","14","1","1807.46","16","56","0.0","1014"
"1256","1","15","#9ed73f","Very Low","96.33","0.0","10","Very Low","High","12","Average","0","Very Low","8","Average","Very Low","Very High","0.0","3.67","0.75","276.27","7","22","0.0","1256"
"831","1","30","#958dc4","Very Low","59.68","0.0","26","Very Low","Very High","40","Daytime","0","Very Low","12","Weekend","Very Low","Very High","0.0","6","0.92","145.61","36","66","0.0","831"
"1013","1","29","#4cb6a0","Very Low","74.27","0.0","28","Very Low","High","16","Nighttime","0","Very Low","5","Weekend","Very Low","Very High","0.0","11","0.8","726.09","15","44","0.0","1013"
"1255","1","5","#d8525b","Very Low","8.36","0.0","4","Very Low","High","2","Average","0","Very Low","6","Average","Very Low","Very High","0.0","1.5","0.67","440.17","1","6","0.0","1255"
"832","1","1","#83427c","Very Low","253.03","0.0","0","Very Low","Very High","1","Average","0","Very Low","2","Average","Very Low","Very High","0.0","0.5","1","116","0","1","0.0","832"
"1012","1","86","#7bbda5","Very Low","117.04","0.0","18","Very Low","Medium","86","Daytime","0","Very Low","24","Weekday","Very Low","Very High","0.0","8.67","0.5","119.04","18","104","0.0","1012"
"1254","1","0","#aa9e7f","Very Low","2363.02","0.0","1","Very Low","Medium","0","Average","0","Very Low","2","Average","Low","Very High","0.0","1","0.5","9","1","1","0.0","1254"
"833","1","66","#60945d","Very Low","139.8","0.0","50","Very Low","Medium","42","Nighttime","0","Very Low","10","Average","Very Low","Very High","0.0","18.4","0.5","729.65","26","92","0.0","833"
"834","1","13","#4ad347","Very Low","119.55","0.0","14","Very Low","Low","5","Nighttime","0","Very Low","10","Average","Very Low","Very High","0.0","4.75","0.4","182.21","6","19","0.0","834"
"835","1","92","#cd780c","Very Low","16.67","0.0","24","Very Low","Low","68","Daytime","0","Very Low","40","Weekday","Very Low","Very High","0.0","6.13","0.38","242.65","0","92","0.0","835"
"836","1","44","#ca3ea3","Very Low","251.33","0.0","28","Very Low","Low","28","Average","0","Very Low","11","Weekday","Very Low","Very High","0.0","11.2","0.45","110","12","56","0.0","836"
"837","1","12","#21c574","Very Low","77.17","0.0","8","Low","High","4","Average","0","Very Low","6","Weekday","Very Low","Very High","0.0","3","0.67","1624.83","0","12","0.0","837"
"838","1","70","#665f80","Very Low","40","0.0","4","Very Low","Very High","68","Daytime","0","Very Low","14","Weekday","Very Low","Very High","0.0","5.54","0.93","410.75","2","72","0.0","838"
"839","1","39","#72c96e","Very Low","170.67","0.0","26","Very Low","Low","35","Daytime","0","Very Low","22","Weekend","Very Low","Very High","0.0","6.78","0.41","143.7","22","61","0.0","839"
"1033","1","26","#a44d7c","Very Low","141.92","0.0","30","Low","High","4","Nighttime","0","Very Low","5","Weekday","Very Low","Very High","0.0","8.5","0.8","960.71","8","34","0.0","1033"
"1275","0.97","3131","#558e9c","Very Low","164.28","1.9939759036144578","1057","Very Low","Low","2457","Daytime","43","Very Low","528","Weekday","Very Low","Very High","3.0","19.97","0.33","160.53","383","3514","27.645788556408938","1275"
"1032","1","4","#67ba3d","Very Low","470.41","0.0","4","Very Low","Very Low","4","Average","0","Very Low","5","Weekend","Very Low","Very High","0.0","8","0.2","50.12","4","8","0.0","1032"
"1274","0.89","3504","#d77898","Very Low","140.9","1.8614457831325302","1471","Very Low","Low","2926","Daytime","135","Very Low","866","Weekday","Very Low","Very High","3.0","12.25","0.41","150.82","893","4397","64.89234519599765","1274"
"1031","1","13","#938685","Very Low","1.28","0.0","7","Very Low","Medium","8","Average","0","Very Low","2","Weekday","Very Low","Very High","0.0","15","0.5","92.73","2","15","0.0","1031"
"1273","0.78","12938","#7a7523","Medium","89.5","1.6686746987951808","5978","Very Low","Medium","11431","Daytime","434","Very Low","2190","Weekday","Very Low","High","2.0","13.48","0.59","150.71","4471","17409","711.6865234860916","1273"
"1030","0.85","3470","#7cda84","Very Low","133.82","1.8855421686746987","1364","Very Low","Low","3042","Daytime","182","Very Low","815","Weekday","Very Low","Very High","3.0","12.81","0.42","128.13","936","4406","80.42761275903122","1030"
"1272","0.93","79","#cf6953","Very Low","91.45","0.0","46","Very Low","Medium","66","Daytime","0","Very Low","16","Average","Very Low","Very High","0.0","11.2","0.62","578.42","33","112","0.0","1272"
"1271","1","38","#cf3e44","Very Low","391.93","0.0","26","Very Low","Low","18","Nighttime","0","Very Low","10","Weekday","Very Low","Very High","0.0","14.67","0.3","33.05","6","44","0.0","1271"
"1270","0.93","1264","#6473d7","Very Low","142.99","1.9457831325301205","505","Very Low","Low","1197","Daytime","92","Very Low","336","Weekday","Very Low","Very High","3.0","11.82","0.43","160.32","438","1702","17.50971949698954","1270"
"1029","1","9","#b1b549","Very Low","511","0.0","2","Very Low","Very Low","9","Daytime","0","Very Low","6","Average","Very Low","Very High","0.0","11","0.17","66.36","2","11","0.0","1029"
"1028","1","23","#f99a73","Very Low","46","0.0","12","Very Low","High","18","Daytime","0","Very Low","15","Weekday","Very Low","Very High","0.0","3","0.67","58.67","7","30","0.0","1028"
"1027","1","14","#72c54b","Very Low","176.5","0.0","22","Very Low","Low","14","Nighttime","0","Very Low","10","Weekend","Very Low","Very High","0.0","12","0.3","155","22","36","0.0","1027"
