"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"1282","1336","712","5","0","","721.0","10.2105","Monday","20151005"
"1282","1016","69","1","0","","1.0","7.3419","Friday","20151009"
"1282","1340","102","1","0","","1.0","9.2357","Friday","20151009"
"1282","1350","431","1","0","","1.0","14.4452","Friday","20151009"
"1282","1109","26","0","1","","1.0","17.5654","Tuesday","20151006"
"1282","1116","87","1","0","","1.0","7.3824","Friday","20151009"
"1282","1059","118","1","0","","1.0","7.3541","Friday","20151009"
"1239","1173","200","9","0","","481.0","9.1922","Thursday","20151008"
"1239","1212","170","5","0","","241.0","11.3745","Thursday","20151008"
"1326","1075","2573","13","0","","2401.0","11.1534","Monday","20151005"
"1326","1328","181","9","0","","481.0","9.082","Monday","20151005"
"697","1273","12","0","1","","1.0","19.5826","Monday","20151005"
"1215","1352","11","1","0","","1.0","14.3101","Wednesday","20151007"
"897","1326","239","0","5","","241.0","19.2318","Monday","20151005"
"896","1212","517","5","8","","961.0","16.3447","Sunday","20151011"
"1218","1382","95","5","0","","241.0","13.2449","Friday","20151009"
"845","1194","2600","5","0","","2161.0","15.2113","Monday","20151005"
"654","1177","622","16","5","","1201.0","17.4914","Friday","20151009"
"1218","1381","440","5","0","","481.0","11.4403","Tuesday","20151006"
"1328","1173","771","9","8","","1201.0","8.1708","Thursday","20151008"
"1196","1310","110","0","5","","241.0","18.2603","Friday","20151009"
"1196","1052","26972","81","44","","31441.0","15.4412","Saturday","20151010"
"1196","1260","49","5","0","","241.0","13.1623","Thursday","20151008"
"1326","845","90","1","0","","1.0","9.5342","Saturday","20151010"
"1326","1041","45","1","0","","1.0","8.5653","Sunday","20151011"
"1333","1332","701","5","8","","1201.0","10.3422","Sunday","20151011"
"1363","1349","1308","9","16","","2161.0","12.162","Friday","20151009"
"1259","1296","605","5","0","","721.0","15.0418","Wednesday","20151007"
"1259","1195","120","5","0","","241.0","10.3118","Saturday","20151010"
"1296","1275","283","13","0","","721.0","13.0052","Sunday","20151011"
"1296","1075","19343","8","21","","18001.0","18.09","Saturday","20151010"
"1336","1332","200","0","5","","241.0","0.3337","Saturday","20151010"
"1222","1258","0","5","0","","1.0","9.0828","Monday","20151005"
"1274","1226","189","0","1","","1.0","17.2901","Saturday","20151010"
"1274","1285","164","0","5","","241.0","17.5126","Saturday","20151010"
"1274","870","992","4","5","","1201.0","18.4345","Saturday","20151010"
"1274","1349","38","1","0","","1.0","16.1631","Sunday","20151011"
"904","1335","116","0","1","","1.0","17.0717","Friday","20151009"
"1357","1203","164","5","0","","241.0","14.1943","Saturday","20151010"
"1357","975","130","1","0","","1.0","14.2109","Saturday","20151010"
"1307","1275","479","13","0","","721.0","14.1336","Sunday","20151011"
"1116","654","2534","24","37","","4321.0","22.0325","Saturday","20151010"
"886","1269","1308","0","13","","1441.0","18.4824","Sunday","20151011"
"1358","767","2923","21","24","","4081.0","13.3927","Thursday","20151008"
"1358","870","7335","16","5","","7921.0","22.2133","Sunday","20151011"
"1358","1003","5415","0","5","","4561.0","22.2646","Sunday","20151011"
"1358","1118","14936","45","0","","16321.0","15.3837","Friday","20151009"
"1358","1205","1160","0","5","","961.0","17.0157","Thursday","20151008"
"1016","1351","648","21","0","","1201.0","10.223","Wednesday","20151007"
"1016","1003","70","5","0","","241.0","13.1659","Monday","20151005"
"1016","1041","185","5","0","","241.0","11.2731","Thursday","20151008"
"1282","1102","13415","61","0","","15121.0","11.0549","Friday","20151009"
"1282","1331","750","13","0","","961.0","9.0947","Friday","20151009"
"1059","1121","345","5","0","","481.0","13.4519","Sunday","20151011"
"1266","1221","433","0","17","","961.0","20.0556","Monday","20151005"
"1266","1192","65","5","0","","241.0","15.5228","Saturday","20151010"
"1323","1070","85","0","5","","241.0","19.0001","Sunday","20151011"
"1288","1375","43","1","0","","1.0","15.0746","Sunday","20151011"
"1350","1052","59","0","1","","1.0","18.153","Friday","20151009"
"1222","1253","6291","29","8","","7201.0","15.4405","Friday","20151009"
"1394","897","65","1","0","","1.0","13.1724","Saturday","20151010"
"1286","1205","21","1","0","","1.0","12.4813","Wednesday","20151007"
"1304","621","160","0","5","","241.0","20.5807","Friday","20151009"
"1304","1364","80","5","0","","241.0","10.3501","Monday","20151005"
"1070","1332","4656","69","60","","7681.0","15.3733","Saturday","20151010"
"1336","1392","399","4","9","","721.0","17.4417","Thursday","20151008"
"1336","1382","75","1","0","","1.0","13.345","Wednesday","20151007"
"1052","1177","143","1","0","","1.0","15.4309","Thursday","20151008"
"1055","1375","95","0","1","","1.0","17.4522","Thursday","20151008"
"1205","1286","646","4","13","","1201.0","20.5123","Monday","20151005"
"958","1269","1051","8","5","","1201.0","17.2514","Wednesday","20151007"
"958","1203","375","8","5","","721.0","19.2329","Saturday","20151010"
"1371","767","360","5","4","","721.0","16.4942","Thursday","20151008"
"1159","1052","130","5","0","","241.0","14.113","Saturday","20151010"
"1159","1116","335","5","0","","481.0","14.0906","Saturday","20151010"
"1367","1384","433","13","0","","721.0","10.0953","Friday","20151009"
"1367","1150","2299","8","1","","481.0","18.2951","Thursday","20151008"
"1382","929","105","5","0","","241.0","10.1745","Tuesday","20151006"
"1382","1326","10","5","0","","241.0","12.0907","Tuesday","20151006"
"1382","1362","2828","21","8","","3361.0","11.1627","Thursday","20151008"
"1239","1362","83","5","0","","241.0","11.3357","Friday","20151009"
"1239","1194","632","5","0","","721.0","12.3653","Tuesday","20151006"
"1273","697","52","0","1","","1.0","19.2407","Monday","20151005"
"1008","1204","335","8","5","","721.0","21.0946","Tuesday","20151006"
